date,AAPL,AMAT,AMD,CSCO,IBM,INTC,MSFT,MU,NVDA,ORCL,WDC
1985-10-07,22982400.0,6796800.0,377400.0,,4405200.0,32222400.0,,697000.0,,,205200.0
1985-10-08,21744800.0,5350400.0,1556800.0,,3343600.0,44217600.0,,539000.0,,,292200.0
1985-10-09,20703200.0,21952000.0,759600.0,,3050000.0,20817600.0,,3174000.0,,,496400.0
1985-10-10,65436000.0,5657600.0,1214400.0,,3544400.0,71107200.0,,3926000.0,,,175000.0
1985-10-11,29573600.0,9088000.0,751400.0,,5520400.0,53414400.0,,3537000.0,,,268000.0
1985-10-14,38796800.0,4518400.0,745000.0,,5536800.0,35539200.0,,1104000.0,,,67800.0
1985-10-15,73472000.0,5862400.0,1018000.0,,5413600.0,23140800.0,,1809000.0,,,187400.0
1985-10-16,72111200.0,4544000.0,322400.0,,4663200.0,16214400.0,,1148000.0,,,92800.0
1985-10-17,87046400.0,806400.0,1294600.0,,5425200.0,16118400.0,,1187000.0,,,280000.0
1985-10-18,57607200.0,972800.0,698000.0,,3583200.0,31176000.0,,1176000.0,,,145600.0
1985-10-21,29719200.0,2470400.0,1155600.0,,2540800.0,18355200.0,,2643000.0,,,428000.0
1985-10-22,106136800.0,9228800.0,1019800.0,,5018800.0,33561600.0,,846000.0,,,107400.0
1985-10-23,37094400.0,4441600.0,404000.0,,6920000.0,32294400.0,,2056000.0,,,269400.0
1985-10-24,68157600.0,11430400.0,1537000.0,,4781600.0,100291200.0,,937000.0,,,290800.0
1985-10-25,15820000.0,1446400.0,640600.0,,3100800.0,48571200.0,,985000.0,,,66000.0
1985-10-28,14868000.0,7577600.0,916400.0,,3061600.0,24297600.0,,1555000.0,,,50600.0
1985-10-29,32720800.0,2188800.0,600800.0,,4186000.0,30408000.0,,595000.0,,,78800.0
1985-10-30,56644000.0,294400.0,840800.0,,5880400.0,24921600.0,,394000.0,,,179400.0
1985-10-31,38768800.0,2419200.0,357000.0,,4611600.0,14452800.0,,10604000.0,,,64200.0
1985-11-01,23139200.0,2316800.0,434200.0,,4550400.0,19108800.0,,2463000.0,,,48200.0
1985-11-04,38931200.0,1779200.0,690600.0,,6922000.0,24691200.0,,573000.0,,,34400.0
1985-11-05,26885600.0,6515200.0,809000.0,,7319600.0,24211200.0,,662000.0,,,62200.0
1985-11-06,50114400.0,1420800.0,1831200.0,,7918800.0,56659200.0,,976000.0,,,212600.0
1985-11-07,79284800.0,4416000.0,834200.0,,4187200.0,80779200.0,,6013000.0,,,87400.0
1985-11-08,73528000.0,3878400.0,397800.0,,4726400.0,23961600.0,,3256000.0,,,375200.0
1985-11-11,44693600.0,3904000.0,570800.0,,6651200.0,30374400.0,,841000.0,,,44600.0
1985-11-12,43411200.0,5875200.0,1716800.0,,9421600.0,44073600.0,,1482000.0,,,218200.0
1985-11-13,25390400.0,3187200.0,367600.0,,5617200.0,17126400.0,,991000.0,,,190400.0
1985-11-14,34876800.0,2547200.0,902600.0,,5374000.0,25214400.0,,1343000.0,,,300200.0
1985-11-15,20395200.0,3289600.0,1467200.0,,8264000.0,49089600.0,,1043000.0,,,218800.0
1985-11-18,16139200.0,1152000.0,787600.0,,4721600.0,30758400.0,,633000.0,,,93400.0
1985-11-19,23581600.0,2649600.0,1943200.0,,6658800.0,119673600.0,,2332000.0,,,92000.0
1985-11-20,24768800.0,1561600.0,1829000.0,,3935600.0,56313600.0,,8229000.0,,,109200.0
1985-11-21,25737600.0,5721600.0,1118800.0,,6860800.0,29640000.0,,2296000.0,,,106400.0
1985-11-22,32188800.0,1510400.0,715400.0,,4298800.0,36436800.0,,3007000.0,,,659400.0
1985-11-25,24298400.0,1561600.0,316000.0,,2474000.0,15744000.0,,1034000.0,,,85600.0
1985-11-26,41115200.0,486400.0,475600.0,,2822000.0,21302400.0,,1368000.0,,,447800.0
1985-11-27,47930400.0,947200.0,1197000.0,,4313600.0,42072000.0,,4107000.0,,,303800.0
1985-11-29,24757600.0,2009600.0,690000.0,,2055200.0,14212800.0,,4113000.0,,,60400.0
1985-12-02,25048800.0,3635200.0,489200.0,,2686400.0,12388800.0,,3343000.0,,,205200.0
1985-12-03,38768800.0,1868800.0,1091600.0,,3070800.0,14289600.0,,1537000.0,,,41600.0
1985-12-04,41277600.0,3379200.0,1691200.0,,4858000.0,37953600.0,,4720000.0,,,448000.0
1985-12-05,31287200.0,10496000.0,2158800.0,,7622800.0,84902400.0,,9788000.0,,,1165400.0
1985-12-06,16363200.0,16384000.0,713600.0,,6553600.0,35083200.0,,3830000.0,,,113200.0
1985-12-09,34966400.0,3340800.0,888400.0,,6650000.0,29059200.0,,1496000.0,,,115200.0
1985-12-10,50226400.0,6553600.0,792400.0,,7760800.0,43132800.0,,2112000.0,,,61400.0
1985-12-11,59404800.0,19840000.0,990200.0,,7942400.0,41505600.0,,1700000.0,,,45400.0
1985-12-12,31315200.0,7244800.0,1194000.0,,5630400.0,29697600.0,,1028000.0,,,59400.0
1985-12-13,62787200.0,13427200.0,1118800.0,,7560400.0,41054400.0,,1664000.0,,,42800.0
1985-12-16,72228800.0,4313600.0,1546600.0,,6344400.0,32496000.0,,2353000.0,,,283600.0
1985-12-17,27266400.0,5824000.0,931000.0,,7144400.0,31944000.0,,2074000.0,,,528000.0
1985-12-18,139949600.0,8243200.0,303400.0,,6102800.0,24316800.0,,2020000.0,,,214800.0
1985-12-19,67530400.0,2112000.0,735400.0,,4423600.0,27772800.0,,6387000.0,,,112200.0
1985-12-20,51508800.0,15782400.0,332000.0,,8512400.0,25416000.0,,8887000.0,,,136800.0
1985-12-23,35806400.0,7820800.0,332400.0,,4883600.0,22387200.0,,1503000.0,,,83200.0
1985-12-24,16150400.0,2112000.0,325000.0,,4046400.0,13598400.0,,1840000.0,,,53800.0
1985-12-26,11463200.0,1676800.0,506800.0,,2250800.0,9537600.0,,723000.0,,,64000.0
1985-12-27,30721600.0,3340800.0,852600.0,,2908400.0,19267200.0,,710000.0,,,112600.0
1985-12-30,26919200.0,11200000.0,363600.0,,3812800.0,13723200.0,,1498000.0,,,35200.0
1985-12-31,21812000.0,5414400.0,751200.0,,3696400.0,24019200.0,,1588000.0,,,44800.0
1986-01-02,29355200.0,2124800.0,546200.0,,7218400.0,12508800.0,,2525000.0,,,96000.0
1986-01-03,60541600.0,1523200.0,402200.0,,4239200.0,25747200.0,,631000.0,,,44000.0
1986-01-06,46261600.0,2368000.0,537000.0,,3208800.0,37084800.0,,2575000.0,,,43800.0
1986-01-07,117633600.0,8998400.0,1047600.0,,5775600.0,41995200.0,,4613000.0,,,614600.0
1986-01-08,151900000.0,10188800.0,625400.0,,7835600.0,55344000.0,,2755000.0,,,494800.0
1986-01-09,111809600.0,6118400.0,718800.0,,8873200.0,32760000.0,,1734000.0,,,196000.0
1986-01-10,38309600.0,1446400.0,594800.0,,5160800.0,30316800.0,,2784000.0,,,63600.0
1986-01-13,53855200.0,2892800.0,447200.0,,4582800.0,18187200.0,,818000.0,,,134800.0
1986-01-14,68174400.0,2470400.0,578200.0,,3540400.0,22977600.0,,2879000.0,,,227600.0
1986-01-15,105868000.0,2060800.0,679000.0,,5574400.0,28900800.0,,1902000.0,,,106600.0
1986-01-16,133694400.0,3443200.0,552000.0,,8058400.0,46872000.0,,937000.0,,,491800.0
1986-01-17,86346400.0,2112000.0,1718800.0,,10030800.0,45038400.0,,2514000.0,,,447800.0
1986-01-20,31852800.0,486400.0,932000.0,,5755200.0,28248000.0,,1058000.0,,,558200.0
1986-01-21,37990400.0,7974400.0,767200.0,,5398400.0,18979200.0,,995000.0,,,222400.0
1986-01-22,35750400.0,3059200.0,692600.0,,6143200.0,18484800.0,,3787000.0,,,690800.0
