Ticker,Date,Close Price,Market Cap,Volume
XRX,02/27/2015,30.8031," 15,181.5 "," 34,182,954 "
XRX,03/31/2015,29.1564," 14,291.8 "," 43,686,408 "
XRX,04/30/2015,26.0932," 12,695.4 "," 55,285,649 "
XRX,05/29/2015,25.9117," 12,607.1 "," 52,528,951 "
XRX,06/30/2015,24.2964," 11,746.0 "," 43,281,538 "
XRX,07/31/2015,25.1641," 11,778.1 "," 76,829,927 "
XRX,08/31/2015,23.2231," 10,869.6 "," 67,630,012 "
XRX,09/30/2015,22.3738," 10,399.4 "," 62,169,722 "
XRX,10/30/2015,21.5920," 9,506.5 "," 80,819,147 "
XRX,11/30/2015,24.2593," 10,680.9 "," 62,462,639 "
