date,manager,profit,flow,equity_sod,roe
10/4/2016,PAR,30942028.03,0,5117117938,0.006047
10/5/2016,PAR,6091543.19,0,5148059966,0.001183
10/6/2016,PAR,-5252407.86,0,5154151509,-0.001019
10/7/2016,PAR,-47328167.65,0,5148899101,-0.009192
10/10/2016,PAR,38098795.39,0,5101570934,0.007468
10/11/2016,PAR,-52886803.17,0,5139669729,-0.01029
10/12/2016,PAR,-22646264.96,0,5086782926,-0.004452
10/13/2016,PAR,1355691.03,0,5064136661,0.000268
10/14/2016,PAR,-9270419.18,0,5065492352,-0.00183
10/17/2016,PAR,-9832745.79,0,5056221933,-0.001945
10/18/2016,PAR,31262155.44,0,5046389187,0.006195
10/19/2016,PAR,42093368.13,0,5077651342,0.00829
10/20/2016,PAR,13491806.55,0,5119744711,0.002635
10/21/2016,PAR,3885027.13,0,5133236517,0.000757
10/24/2016,PAR,15141587.61,0,5137121544,0.002947
10/25/2016,PAR,-49291782.19,0,5152263132,-0.009567
10/26/2016,PAR,-83975144.81,0,5102971350,-0.016456
10/27/2016,PAR,-2403405.26,0,5018996205,-0.000479
10/28/2016,PAR,-28655695.67,0,5016592800,-0.005712
10/31/2016,PAR,19693332.32,0,4987937104,0.003948
11/1/2016,PAR,-43654944.72,0,5007630436,-0.008718
11/2/2016,PAR,-23461964.94,0,4963975492,-0.004726
11/3/2016,PAR,-17245229.99,0,4940513527,-0.003491
11/4/2016,PAR,80141170.17,0,4923268297,0.016278
11/7/2016,PAR,112060471,0,5003409467,0.022397
11/8/2016,PAR,45603623.43,0,5115469938,0.008915
11/9/2016,PAR,36869686.83,0,5161073561,0.007144
11/10/2016,PAR,20454157.09,0,5197943248,0.003935
11/11/2016,PAR,21405491.85,0,5218397405,0.004102
11/14/2016,PAR,40588134.69,0,5239802897,0.007746
11/15/2016,PAR,102667964.5,0,5280391032,0.019443
11/16/2016,PAR,438239.81,0,5383058996,8.10E-05
11/17/2016,PAR,71014420.91,0,5383497236,0.013191
11/18/2016,PAR,-9596536.76,0,5454511657,-0.001759
11/21/2016,PAR,43961772.15,0,5444915120,0.008074
11/22/2016,PAR,4072267.72,0,5488876892,0.000742
11/23/2016,PAR,14735733.92,0,5492949160,0.002683
11/25/2016,PAR,-11838760.42,0,5507684894,-0.00215
11/28/2016,PAR,-45408478.68,0,5495846134,-0.008262
11/29/2016,PAR,-9875601.05,0,5450437655,-0.001812
11/30/2016,PAR,-28549965.18,0,5440562054,-0.005248
12/1/2016,PAR,-30775280.31,0,5412012089,-0.005686
12/2/2016,PAR,18075136.06,0,5381236808,0.003359
12/5/2016,PAR,37629200.32,0,5399311944,0.006969
12/6/2016,PAR,75424875.96,0,5436941145,0.013873
12/7/2016,PAR,41907049.65,0,5512366021,0.007602
12/8/2016,PAR,35817497.64,0,5554273070,0.006449
12/9/2016,PAR,39454798.68,0,5590090568,0.007058
12/12/2016,PAR,-85951886.59,0,5629545367,-0.015268
12/13/2016,PAR,4036647.32,0,5543593480,0.000728
12/14/2016,PAR,-30002290.3,0,5547630127,-0.005408
12/15/2016,PAR,48189310.04,0,5517627837,0.008734
12/16/2016,PAR,14971639.34,0,5565817147,0.00269
12/19/2016,PAR,262280.51,0,5580788786,4.70E-05
12/20/2016,PAR,48467834,0,5581051067,0.008684
12/21/2016,PAR,-24572985.1,0,5629518901,-0.004365
12/22/2016,PAR,-36972349.26,0,5604945916,-0.006596
12/23/2016,PAR,21023067.53,0,5567973567,0.003776
12/27/2016,PAR,-294261.26,0,5588996634,-5.30E-05
12/28/2016,PAR,-48173858.38,0,5588702373,-0.00862
12/29/2016,PAR,-10317113.14,0,5540528514,-0.001862
12/30/2016,PAR,-7606662.23,0,5530211401,-0.001375
1/3/2017,PAR,20085655.25,374378292.7,5179200000,0.003878
1/4/2017,PAR,53156276,0,5199285655,0.010224
1/5/2017,PAR,-40857995.68,0,5252441931,-0.007779
1/6/2017,PAR,-5145980.73,0,5211583936,-0.000987
1/9/2017,PAR,-26355919,0,5206437955,-0.005062
1/10/2017,PAR,26741727.33,0,5180082036,0.005162
